C,mean_r2,std_r2
0.01,0.21202389744625866,0.003492257742904583
1.0,0.2120202431368677,0.0036467687046161314
0.1,0.21201478427817283,0.003560635463623394
10.0,0.20726988705534904,0.0039872469465004326
50.0,0.09733318662804061,0.029100181161195796
100.0,-0.09369683920557945,0.08152819874640468
500.0,-0.5473473928826191,0.10604554971642549
