Split,MAE,RMSE,R²,MAPE%
Training,242.71792379889234,363.06732555699455,0.9868234507038638,13.002311454935159
Validation,535.0020493735598,962.0795077002116,0.8806449803574191,21.798358901369646
Test,552.4944866380405,1466.1514982256454,0.7840115527742082,22.197518988634933
